Date,Continent,Country,Category,Sub_Category,Sales,Profit,Quantity
2015-01-01,Asia,India,Electronics,Computers,5604,841,28
2015-01-01,Asia,India,Clothing,Apparel,5455,1636,121
2015-01-01,Asia,India,Clothing,Accessories,2261,452,75
2015-01-01,Asia,India,Furniture,Home,3661,659,15
2015-01-01,Asia,India,Furniture,Office,2784,612,9
2015-01-01,Africa,South Africa,Electronics,Phones,3954,395,26
2015-01-01,Africa,South Africa,Electronics,Computers,2616,392,13
2015-01-01,Africa,South Africa,Clothing,Apparel,2093,628,47
2015-01-01,Africa,South Africa,Clothing,Accessories,1004,201,33
2015-01-01,Africa,South Africa,Furniture,Home,1343,242,5
2015-01-01,Africa,South Africa,Furniture,Office,937,206,3
2015-02-01,North America,United States,Electronics,Phones,37054,3705,247
2015-02-01,North America,United States,Electronics,Computers,23130,3470,116
2015-02-01,North America,United States,Clothing,Apparel,21239,6372,472
2015-02-01,North America,United States,Clothing,Accessories,9332,1866,311
2015-02-01,North America,United States,Furniture,Home,16830,3029,67
2015-02-01,North America,United States,Furniture,Office,11080,2438,37
2015-02-01,North America,Canada,Electronics,Phones,10640,1064,71
2015-02-01,North America,Canada,Electronics,Computers,6798,1020,34
2015-02-01,North America,Canada,Clothing,Apparel,7079,2124,157
2015-02-01,North America,Canada,Clothing,Accessories,3004,601,100
2015-02-01,North America,Canada,Furniture,Home,5088,916,20
2015-02-01,North America,Canada,Furniture,Office,3919,862,13
2015-02-01,South America,Brazil,Electronics,Phones,10645,1064,71
2015-02-01,South America,Brazil,Electronics,Computers,6355,953,32
2015-02-01,South America,Brazil,Clothing,Apparel,6496,1949,144
2015-02-01,South America,Brazil,Clothing,Accessories,2644,529,88
2015-02-01,South America,Brazil,Furniture,Home,4873,877,19
2015-02-01,South America,Brazil,Furniture,Office,2975,654,10
2015-02-01,Europe,United Kingdom,Electronics,Phones,19298,1930,129
2015-02-01,Europe,United Kingdom,Electronics,Computers,12816,1922,64
2015-02-01,Europe,United Kingdom,Clothing,Apparel,13286,3986,295
2015-02-01,Europe,United Kingdom,Clothing,Accessories,5358,1072,179
2015-02-01,Europe,United Kingdom,Furniture,Home,9152,1647,37
2015-02-01,Europe,United Kingdom,Furniture,Office,6477,1425,22
2015-02-01,Europe,Germany,Electronics,Phones,16315,1632,109
2015-02-01,Europe,Germany,Electronics,Computers,10477,1572,52
2015-02-01,Europe,Germany,Clothing,Apparel,11545,3464,257
2015-02-01,Europe,Germany,Clothing,Accessories,4509,902,150
2015-02-01,Europe,Germany,Furniture,Home,7437,1339,30
2015-02-01,Europe,Germany,Furniture,Office,4911,1080,16
2015-02-01,Europe,France,Electronics,Phones,13691,1369,91
2015-02-01,Europe,France,Electronics,Computers,10152,1523,51
2015-02-01,Europe,France,Clothing,Apparel,12225,3668,272
2015-02-01,Europe,France,Clothing,Accessories,4873,975,162
2015-02-01,Europe,France,Furniture,Home,6982,1257,28
2015-02-01,Europe,France,Furniture,Office,4979,1095,17
2015-02-01,Asia,Japan,Electronics,Phones,25722,2572,171
2015-02-01,Asia,Japan,Electronics,Computers,15691,2354,78
2015-02-01,Asia,Japan,Clothing,Apparel,16085,4826,357
2015-02-01,Asia,Japan,Clothing,Accessories,6755,1351,225
2015-02-01,Asia,Japan,Furniture,Home,8933,1608,36
2015-02-01,Asia,Japan,Furniture,Office,6891,1516,23
2015-02-01,Asia,China,Electronics,Phones,27981,2798,187
2015-02-01,Asia,China,Electronics,Computers,18133,2720,91
2015-02-01,Asia,China,Clothing,Apparel,16017,4805,356
2015-02-01,Asia,China,Clothing,Accessories,7403,1481,247
2015-02-01,Asia,China,Furniture,Home,11621,2092,46
2015-02-01,Asia,China,Furniture,Office,8290,1824,28
2015-02-01,Asia,India,Electronics,Phones,8025,802,54
2015-02-01,Asia,India,Electronics,Computers,5890,884,29
2015-02-01,Asia,India,Clothing,Apparel,5645,1694,125
2015-02-01,Asia,India,Clothing,Accessories,2144,429,71
2015-02-01,Asia,India,Furniture,Home,3600,648,14
2015-02-01,Asia,India,Furniture,Office,2246,494,7
2015-02-01,Africa,South Africa,Electronics,Phones,3897,390,26
2015-02-01,Africa,South Africa,Electronics,Computers,2578,387,13
2015-02-01,Africa,South Africa,Clothing,Apparel,2015,604,45
2015-02-01,Africa,South Africa,Clothing,Accessories,925,185,31
2015-02-01,Africa,South Africa,Furniture,Home,1379,248,6
2015-02-01,Africa,South Africa,Furniture,Office,838,184,3
2015-03-01,North America,United States,Electronics,Phones,40258,4026,268
2015-03-01,North America,United States,Electronics,Computers,25701,3855,129
2015-03-01,North America,United States,Clothing,Apparel,25126,7538,558
2015-03-01,North America,United States,Clothing,Accessories,10262,2052,342
2015-03-01,North America,United States,Furniture,Home,16067,2892,64
2015-03-01,North America,United States,Furniture,Office,11481,2526,38
2015-03-01,North America,Canada,Electronics,Phones,11525,1152,77
2015-03-01,North America,Canada,Electronics,Computers,9229,1384,46
2015-03-01,North America,Canada,Clothing,Apparel,8961,2688,199
2015-03-01,North America,Canada,Clothing,Accessories,3807,761,127
2015-03-01,North America,Canada,Furniture,Home,5884,1059,24
2015-03-01,North America,Canada,Furniture,Office,3719,818,12
2015-03-01,South America,Brazil,Electronics,Phones,12068,1207,80
2015-03-01,South America,Brazil,Electronics,Computers,8149,1222,41
2015-03-01,South America,Brazil,Clothing,Apparel,6548,1964,146
2015-03-01,South America,Brazil,Clothing,Accessories,3051,610,102
2015-03-01,South America,Brazil,Furniture,Home,4661,839,19
2015-03-01,South America,Brazil,Furniture,Office,3577,787,12
2015-03-01,Europe,United Kingdom,Electronics,Phones,24170,2417,161
2015-03-01,Europe,United Kingdom,Electronics,Computers,14163,2124,71
2015-03-01,Europe,United Kingdom,Clothing,Apparel,14801,4440,329
2015-03-01,Europe,United Kingdom,Clothing,Accessories,6438,1288,215
2015-03-01,Europe,United Kingdom,Furniture,Home,9721,1750,39
2015-03-01,Europe,United Kingdom,Furniture,Office,7307,1608,24
2015-03-01,Europe,Germany,Electronics,Phones,18580,1858,124
2015-03-01,Europe,Germany,Electronics,Computers,11855,1778,59
2015-03-01,Europe,Germany,Clothing,Apparel,11994,3598,267
2015-03-01,Europe,Germany,Clothing,Accessories,5335,1067,178
2015-03-01,Europe,Germany,Furniture,Home,8631,1554,35
2015-03-01,Europe,Germany,Furniture,Office,5890,1296,20
2015-03-01,Europe,France,Electronics,Phones,18497,1850,123
2015-03-01,Europe,France,Electronics,Computers,11556,1733,58
2015-03-01,Europe,France,Clothing,Apparel,12928,3878,287
2015-03-01,Europe,France,Clothing,Accessories,5630,1126,188
2015-03-01,Europe,France,Furniture,Home,8013,1442,32
2015-03-01,Europe,France,Furniture,Office,5462,1202,18
2015-03-01,Asia,Japan,Electronics,Phones,25661,2566,171
2015-03-01,Asia,Japan,Electronics,Computers,17992,2699,90
2015-03-01,Asia,Japan,Clothing,Apparel,15761,4728,350
2015-03-01,Asia,Japan,Clothing,Accessories,6740,1348,225
2015-03-01,Asia,Japan,Furniture,Home,10257,1846,41
2015-03-01,Asia,Japan,Furniture,Office,7676,1689,26
2015-03-01,Asia,China,Electronics,Phones,28941,2894,193
2015-03-01,Asia,China,Electronics,Computers,22054,3308,110
2015-03-01,Asia,China,Clothing,Apparel,20409,6123,454
2015-03-01,Asia,China,Clothing,Accessories,7460,1492,249
2015-03-01,Asia,China,Furniture,Home,13532,2436,54
2015-03-01,Asia,China,Furniture,Office,9842,2165,33
2015-03-01,Asia,India,Electronics,Phones,8655,866,58
2015-03-01,Asia,India,Electronics,Computers,5670,850,28
2015-03-01,Asia,India,Clothing,Apparel,6468,1940,144
2015-03-01,Asia,India,Clothing,Accessories,2586,517,86
2015-03-01,Asia,India,Furniture,Home,4058,730,16
2015-03-01,Asia,India,Furniture,Office,2875,632,10
2015-03-01,Africa,South Africa,Electronics,Phones,4331,433,29
2015-03-01,Africa,South Africa,Electronics,Computers,2552,383,13
2015-03-01,Africa,South Africa,Clothing,Apparel,2188,656,49
2015-03-01,Africa,South Africa,Clothing,Accessories,1006,201,34
2015-03-01,Africa,South Africa,Furniture,Home,1507,271,6
2015-03-01,Africa,South Africa,Furniture,Office,1013,223,3
2015-04-01,North America,United States,Electronics,Phones,42356,4236,282
2015-04-01,North America,United States,Electronics,Computers,27936,4190,140
2015-04-01,North America,United States,Clothing,Apparel,27640,8292,614
2015-04-01,North America,United States,Clothing,Accessories,9933,1987,331
2015-04-01,North America,United States,Furniture,Home,18532,3336,74
2015-04-01,North America,United States,Furniture,Office,12195,2683,41
2015-04-01,North America,Canada,Electronics,Phones,14477,1448,97
2015-04-01,North America,Canada,Electronics,Computers,8548,1282,43
2015-04-01,North America,Canada,Clothing,Apparel,8274,2482,184
2015-04-01,North America,Canada,Clothing,Accessories,3741,748,125
2015-04-01,North America,Canada,Furniture,Home,6379,1148,26
2015-04-01,North America,Canada,Furniture,Office,4129,908,14
2015-04-01,South America,Brazil,Electronics,Phones,11286,1129,75
2015-04-01,South America,Brazil,Electronics,Computers,8590,1288,43
2015-04-01,South America,Brazil,Clothing,Apparel,7474,2242,166
2015-04-01,South America,Brazil,Clothing,Accessories,3474,695,116
2015-04-01,South America,Brazil,Furniture,Home,5454,982,22
2015-04-01,South America,Brazil,Furniture,Office,3276,721,11
2015-04-01,Europe,United Kingdom,Electronics,Phones,26727,2673,178
2015-04-01,Europe,United Kingdom,Electronics,Computers,17289,2593,86
2015-04-01,Europe,United Kingdom,Clothing,Apparel,17227,5168,383
2015-04-01,Europe,United Kingdom,Clothing,Accessories,7326,1465,244
2015-04-01,Europe,United Kingdom,Furniture,Home,11553,2080,46
2015-04-01,Europe,United Kingdom,Furniture,Office,6719,1478,22
2015-04-01,Europe,Germany,Electronics,Phones,19923,1992,133
2015-04-01,Europe,Germany,Electronics,Computers,12557,1884,63
2015-04-01,Europe,Germany,Clothing,Apparel,12351,3705,274
2015-04-01,Europe,Germany,Clothing,Accessories,4923,985,164
2015-04-01,Europe,Germany,Furniture,Home,9485,1707,38
2015-04-01,Europe,Germany,Furniture,Office,7109,1564,24
2015-04-01,Europe,France,Electronics,Phones,16983,1698,113
2015-04-01,Europe,France,Electronics,Computers,12555,1883,63
2015-04-01,Europe,France,Clothing,Apparel,13735,4120,305
2015-04-01,Europe,France,Clothing,Accessories,5849,1170,195
2015-04-01,Europe,France,Furniture,Home,10020,1804,40
2015-04-01,Europe,France,Furniture,Office,6726,1480,22
2015-04-01,Asia,Japan,Electronics,Phones,28393,2839,189
2015-04-01,Asia,Japan,Electronics,Computers,19538,2931,98
2015-04-01,Asia,Japan,Clothing,Apparel,16422,4927,365
2015-04-01,Asia,Japan,Clothing,Accessories,7253,1451,242
2015-04-01,Asia,Japan,Furniture,Home,12994,2339,52
2015-04-01,Asia,Japan,Furniture,Office,8045,1770,27
2015-04-01,Asia,China,Electronics,Phones,32673,3267,218
2015-04-01,Asia,China,Electronics,Computers,22671,3401,113
2015-04-01,Asia,China,Clothing,Apparel,18374,5512,408
2015-04-01,Asia,China,Clothing,Accessories,8785,1757,293
2015-04-01,Asia,China,Furniture,Home,15129,2723,61
2015-04-01,Asia,China,Furniture,Office,10791,2374,36
2015-04-01,Asia,India,Electronics,Phones,9054,905,60
2015-04-01,Asia,India,Electronics,Computers,7077,1062,35
2015-04-01,Asia,India,Clothing,Apparel,5771,1731,128
2015-04-01,Asia,India,Clothing,Accessories,2530,506,84
2015-04-01,Asia,India,Furniture,Home,4402,792,18
2015-04-01,Asia,India,Furniture,Office,2981,656,10
2015-04-01,Africa,South Africa,Electronics,Phones,4091,409,27
2015-04-01,Africa,South Africa,Electronics,Computers,2661,399,13
2015-04-01,Africa,South Africa,Clothing,Apparel,2717,815,60
2015-04-01,Africa,South Africa,Clothing,Accessories,1025,205,34
2015-04-01,Africa,South Africa,Furniture,Home,1651,297,7
2015-04-01,Africa,South Africa,Furniture,Office,1106,243,4
2015-05-01,North America,United States,Electronics,Phones,42059,4206,280
2015-05-01,North America,United States,Electronics,Computers,28977,4347,145
2015-05-01,North America,United States,Clothing,Apparel,26721,8016,594
2015-05-01,North America,United States,Clothing,Accessories,12391,2478,413
2015-05-01,North America,United States,Furniture,Home,18770,3379,75
2015-05-01,North America,United States,Furniture,Office,13875,3052,46
2015-05-01,North America,Canada,Electronics,Phones,13505,1350,90
2015-05-01,North America,Canada,Electronics,Computers,9302,1395,47
2015-05-01,North America,Canada,Clothing,Apparel,9630,2889,214
2015-05-01,North America,Canada,Clothing,Accessories,3830,766,128
2015-05-01,North America,Canada,Furniture,Home,6589,1186,26
2015-05-01,North America,Canada,Furniture,Office,4790,1054,16
2015-05-01,South America,Brazil,Electronics,Phones,11468,1147,76
2015-05-01,South America,Brazil,Electronics,Computers,8290,1244,41
2015-05-01,South America,Brazil,Clothing,Apparel,8776,2633,195
2015-05-01,South America,Brazil,Clothing,Accessories,3759,752,125
2015-05-01,South America,Brazil,Furniture,Home,5214,939,21
2015-05-01,South America,Brazil,Furniture,Office,3582,788,12
2015-05-01,Europe,United Kingdom,Electronics,Phones,24445,2444,163
2015-05-01,Europe,United Kingdom,Electronics,Computers,18582,2787,93
2015-05-01,Europe,United Kingdom,Clothing,Apparel,17891,5367,398
2015-05-01,Europe,United Kingdom,Clothing,Accessories,7665,1533,256
2015-05-01,Europe,United Kingdom,Furniture,Home,11103,1999,44
2015-05-01,Europe,United Kingdom,Furniture,Office,7080,1558,24
2015-05-01,Europe,Germany,Electronics,Phones,22498,2250,150
2015-05-01,Europe,Germany,Electronics,Computers,14632,2195,73
2015-05-01,Europe,Germany,Clothing,Apparel,13597,4079,302
2015-05-01,Europe,Germany,Clothing,Accessories,6255,1251,208
2015-05-01,Europe,Germany,Furniture,Home,10576,1904,42
2015-05-01,Europe,Germany,Furniture,Office,6167,1357,21
2015-05-01,Europe,France,Electronics,Phones,20003,2000,133
2015-05-01,Europe,France,Electronics,Computers,12037,1806,60
2015-05-01,Europe,France,Clothing,Apparel,15108,4532,336
2015-05-01,Europe,France,Clothing,Accessories,6820,1364,227
2015-05-01,Europe,France,Furniture,Home,8981,1617,36
2015-05-01,Europe,France,Furniture,Office,5963,1312,20
2015-05-01,Asia,Japan,Electronics,Phones,27311,2731,182
2015-05-01,Asia,Japan,Electronics,Computers,19970,2996,100
2015-05-01,Asia,Japan,Clothing,Apparel,17772,5332,395
2015-05-01,Asia,Japan,Clothing,Accessories,8147,1629,272
2015-05-01,Asia,Japan,Furniture,Home,13086,2355,52
2015-05-01,Asia,Japan,Furniture,Office,7864,1730,26
2015-05-01,Asia,China,Electronics,Phones,35118,3512,234
2015-05-01,Asia,China,Electronics,Computers,21724,3259,109
2015-05-01,Asia,China,Clothing,Apparel,21231,6369,472
2015-05-01,Asia,China,Clothing,Accessories,9859,1972,329
2015-05-01,Asia,China,Furniture,Home,17065,3072,68
2015-05-01,Asia,China,Furniture,Office,9772,2150,33
2015-05-01,Asia,India,Electronics,Phones,10103,1010,67
2015-05-01,Asia,India,Electronics,Computers,6534,980,33
2015-05-01,Asia,India,Clothing,Apparel,5990,1797,133
2015-05-01,Asia,India,Clothing,Accessories,3005,601,100
2015-05-01,Asia,India,Furniture,Home,4685,843,19
2015-05-01,Asia,India,Furniture,Office,2895,637,10
2015-05-01,Africa,South Africa,Electronics,Phones,4780,478,32
2015-05-01,Africa,South Africa,Electronics,Computers,3071,461,15
2015-05-01,Africa,South Africa,Clothing,Apparel,2622,787,58
2015-05-01,Africa,South Africa,Clothing,Accessories,1028,206,34
2015-05-01,Africa,South Africa,Furniture,Home,1565,282,6
2015-05-01,Africa,South Africa,Furniture,Office,1227,270,4
2015-06-01,North America,United States,Electronics,Phones,43772,4377,292
2015-06-01,North America,United States,Electronics,Computers,27246,4087,136
2015-06-01,North America,United States,Clothing,Apparel,26886,8066,597
2015-06-01,North America,United States,Clothing,Accessories,10978,2196,366
2015-06-01,North America,United States,Furniture,Home,17570,3163,70
2015-06-01,North America,United States,Furniture,Office,11661,2565,39
2015-06-01,North America,Canada,Electronics,Phones,12982,1298,87
2015-06-01,North America,Canada,Electronics,Computers,9718,1458,49
2015-06-01,North America,Canada,Clothing,Apparel,9342,2803,208
2015-06-01,North America,Canada,Clothing,Accessories,4053,811,135
2015-06-01,North America,Canada,Furniture,Home,6997,1259,28
2015-06-01,North America,Canada,Furniture,Office,4070,895,14
2015-06-01,South America,Brazil,Electronics,Phones,11285,1128,75
2015-06-01,South America,Brazil,Electronics,Computers,7291,1094,36
2015-06-01,South America,Brazil,Clothing,Apparel,7984,2395,177
2015-06-01,South America,Brazil,Clothing,Accessories,3489,698,116
2015-06-01,South America,Brazil,Furniture,Home,5299,954,21
2015-06-01,South America,Brazil,Furniture,Office,3687,811,12
2015-06-01,Europe,United Kingdom,Electronics,Phones,22621,2262,151
2015-06-01,Europe,United Kingdom,Electronics,Computers,17593,2639,88
2015-06-01,Europe,United Kingdom,Clothing,Apparel,16899,5070,376
2015-06-01,Europe,United Kingdom,Clothing,Accessories,7393,1479,246
2015-06-01,Europe,United Kingdom,Furniture,Home,11471,2065,46
2015-06-01,Europe,United Kingdom,Furniture,Office,7749,1705,26
2015-06-01,Europe,Germany,Electronics,Phones,18081,1808,121
2015-06-01,Europe,Germany,Electronics,Computers,13950,2092,70
2015-06-01,Europe,Germany,Clothing,Apparel,12177,3653,271
2015-06-01,Europe,Germany,Clothing,Accessories,5865,1173,196
2015-06-01,Europe,Germany,Furniture,Home,10308,1855,41
2015-06-01,Europe,Germany,Furniture,Office,6952,1529,23
2015-06-01,Europe,France,Electronics,Phones,18928,1893,126
2015-06-01,Europe,France,Electronics,Computers,11326,1699,57
2015-06-01,Europe,France,Clothing,Apparel,14657,4397,326
2015-06-01,Europe,France,Clothing,Accessories,5474,1095,182
2015-06-01,Europe,France,Furniture,Home,9863,1775,39
2015-06-01,Europe,France,Furniture,Office,6559,1443,22
2015-06-01,Asia,Japan,Electronics,Phones,26521,2652,177
2015-06-01,Asia,Japan,Electronics,Computers,19905,2986,100
2015-06-01,Asia,Japan,Clothing,Apparel,17500,5250,389
2015-06-01,Asia,Japan,Clothing,Accessories,7265,1453,242
2015-06-01,Asia,Japan,Furniture,Home,12582,2265,50
2015-06-01,Asia,Japan,Furniture,Office,7489,1648,25
2015-06-01,Asia,China,Electronics,Phones,29313,2931,195
2015-06-01,Asia,China,Electronics,Computers,20274,3041,101
2015-06-01,Asia,China,Clothing,Apparel,19468,5840,433
2015-06-01,Asia,China,Clothing,Accessories,9270,1854,309
2015-06-01,Asia,China,Furniture,Home,16532,2976,66
2015-06-01,Asia,China,Furniture,Office,9635,2120,32
2015-06-01,Asia,India,Electronics,Phones,9995,1000,67
2015-06-01,Asia,India,Electronics,Computers,6350,952,32
2015-06-01,Asia,India,Clothing,Apparel,6906,2072,153
2015-06-01,Asia,India,Clothing,Accessories,2720,544,91
2015-06-01,Asia,India,Furniture,Home,4700,846,19
2015-06-01,Asia,India,Furniture,Office,2658,585,9
2015-06-01,Africa,South Africa,Electronics,Phones,4726,473,32
2015-06-01,Africa,South Africa,Electronics,Computers,2695,404,13
2015-06-01,Africa,South Africa,Clothing,Apparel,2753,826,61
2015-06-01,Africa,South Africa,Clothing,Accessories,1029,206,34
2015-06-01,Africa,South Africa,Furniture,Home,1493,269,6
2015-06-01,Africa,South Africa,Furniture,Office,1066,235,4
2015-07-01,North America,United States,Electronics,Phones,39998,4000,267
2015-07-01,North America,United States,Electronics,Computers,24550,3682,123
2015-07-01,North America,United States,Clothing,Apparel,24306,7292,540
2015-07-01,North America,United States,Clothing,Accessories,10223,2045,341
2015-07-01,North America,United States,Furniture,Home,17440,3139,70
2015-07-01,North America,United States,Furniture,Office,12082,2658,40
2015-07-01,North America,Canada,Electronics,Phones,12125,1212,81
2015-07-01,North America,Canada,Electronics,Computers,8855,1328,44
2015-07-01,North America,Canada,Clothing,Apparel,7500,2250,167
2015-07-01,North America,Canada,Clothing,Accessories,3874,775,129
2015-07-01,North America,Canada,Furniture,Home,6167,1110,25
2015-07-01,North America,Canada,Furniture,Office,4259,937,14
2015-07-01,South America,Brazil,Electronics,Phones,11763,1176,78
2015-07-01,South America,Brazil,Electronics,Computers,7735,1160,39
2015-07-01,South America,Brazil,Clothing,Apparel,6946,2084,154
2015-07-01,South America,Brazil,Clothing,Accessories,2797,559,93
2015-07-01,South America,Brazil,Furniture,Home,5268,948,21
2015-07-01,South America,Brazil,Furniture,Office,3285,723,11
2015-07-01,Europe,United Kingdom,Electronics,Phones,22096,2210,147
2015-07-01,Europe,United Kingdom,Electronics,Computers,16365,2455,82
2015-07-01,Europe,United Kingdom,Clothing,Apparel,15529,4659,345
2015-07-01,Europe,United Kingdom,Clothing,Accessories,6120,1224,204
2015-07-01,Europe,United Kingdom,Furniture,Home,9811,1766,39
2015-07-01,Europe,United Kingdom,Furniture,Office,6675,1468,22
2015-07-01,Europe,Germany,Electronics,Phones,18502,1850,123
2015-07-01,Europe,Germany,Electronics,Computers,12066,1810,60
2015-07-01,Europe,Germany,Clothing,Apparel,11013,3304,245
2015-07-01,Europe,Germany,Clothing,Accessories,5019,1004,167
2015-07-01,Europe,Germany,Furniture,Home,9989,1798,40
2015-07-01,Europe,Germany,Furniture,Office,6337,1394,21
2015-07-01,Europe,France,Electronics,Phones,18186,1819,121
2015-07-01,Europe,France,Electronics,Computers,11479,1722,57
2015-07-01,Europe,France,Clothing,Apparel,12569,3771,279
2015-07-01,Europe,France,Clothing,Accessories,5664,1133,189
2015-07-01,Europe,France,Furniture,Home,7804,1405,31
2015-07-01,Europe,France,Furniture,Office,5534,1217,18
2015-07-01,Asia,Japan,Electronics,Phones,26148,2615,174
2015-07-01,Asia,Japan,Electronics,Computers,17963,2694,90
2015-07-01,Asia,Japan,Clothing,Apparel,17175,5152,382
2015-07-01,Asia,Japan,Clothing,Accessories,7090,1418,236
2015-07-01,Asia,Japan,Furniture,Home,11090,1996,44
2015-07-01,Asia,Japan,Furniture,Office,7052,1551,24
2015-07-01,Asia,China,Electronics,Phones,30436,3044,203
2015-07-01,Asia,China,Electronics,Computers,22037,3306,110
2015-07-01,Asia,China,Clothing,Apparel,20167,6050,448
2015-07-01,Asia,China,Clothing,Accessories,7621,1524,254
2015-07-01,Asia,China,Furniture,Home,13094,2357,52
2015-07-01,Asia,China,Furniture,Office,9549,2101,32
2015-07-01,Asia,India,Electronics,Phones,9424,942,63
2015-07-01,Asia,India,Electronics,Computers,5918,888,30
2015-07-01,Asia,India,Clothing,Apparel,6329,1899,141
2015-07-01,Asia,India,Clothing,Accessories,2678,536,89
2015-07-01,Asia,India,Furniture,Home,4221,760,17
2015-07-01,Asia,India,Furniture,Office,2570,565,9
2015-07-01,Africa,South Africa,Electronics,Phones,3834,383,26
2015-07-01,Africa,South Africa,Electronics,Computers,2461,369,12
2015-07-01,Africa,South Africa,Clothing,Apparel,2259,678,50
2015-07-01,Africa,South Africa,Clothing,Accessories,1015,203,34
2015-07-01,Africa,South Africa,Furniture,Home,1637,295,7
2015-07-01,Africa,South Africa,Furniture,Office,933,205,3
2015-08-01,North America,United States,Electronics,Phones,39807,3981,265
2015-08-01,North America,United States,Electronics,Computers,27701,4155,139
2015-08-01,North America,United States,Clothing,Apparel,23660,7098,526
2015-08-01,North America,United States,Clothing,Accessories,11224,2245,374
2015-08-01,North America,United States,Furniture,Home,18879,3398,76
2015-08-01,North America,United States,Furniture,Office,11955,2630,40
2015-08-01,North America,Canada,Electronics,Phones,13921,1392,93
2015-08-01,North America,Canada,Electronics,Computers,8110,1216,41
2015-08-01,North America,Canada,Clothing,Apparel,9263,2779,206
2015-08-01,North America,Canada,Clothing,Accessories,3984,797,133
2015-08-01,North America,Canada,Furniture,Home,5970,1075,24
2015-08-01,North America,Canada,Furniture,Office,4255,936,14
2015-08-01,South America,Brazil,Electronics,Phones,11110,1111,74
2015-08-01,South America,Brazil,Electronics,Computers,8645,1297,43
2015-08-01,South America,Brazil,Clothing,Apparel,7587,2276,169
2015-08-01,South America,Brazil,Clothing,Accessories,2949,590,98
2015-08-01,South America,Brazil,Furniture,Home,5129,923,21
2015-08-01,South America,Brazil,Furniture,Office,3851,847,13
2015-08-01,Europe,United Kingdom,Electronics,Phones,24088,2409,161
2015-08-01,Europe,United Kingdom,Electronics,Computers,17177,2577,86
2015-08-01,Europe,United Kingdom,Clothing,Apparel,16278,4883,362
2015-08-01,Europe,United Kingdom,Clothing,Accessories,7409,1482,247
2015-08-01,Europe,United Kingdom,Furniture,Home,11006,1981,44
2015-08-01,Europe,United Kingdom,Furniture,Office,7848,1727,26
2015-08-01,Europe,Germany,Electronics,Phones,21544,2154,144
